name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
KAHAWAI,133114,117,0.04,89027.55,6.84,0.00,62.39,0.00,21.37,9.40
KALLFELZ,133114,117,0.04,89027.59,99.00,0.00,0.00,0.00,0.00,0.00
KALLOK,133114,117,0.04,89027.64,91.45,(S),(S),(S),(S),(S)
KAMPSCHROEDER,133114,117,0.04,89027.68,99.15,0.00,(S),0.00,0.00,(S)
KANGISER,133114,117,0.04,89027.73,88.89,0.00,(S),(S),4.27,4.27
KANUHA,133114,117,0.04,89027.77,17.09,0.00,41.88,0.00,35.04,5.98
KAPULE,133114,117,0.04,89027.81,10.26,(S),54.70,(S),26.50,6.84
KARNEHM,133114,117,0.04,89027.86,98.29,0.00,0.00,0.00,(S),(S)
KASERMAN,133114,117,0.04,89027.90,99.00,0.00,0.00,0.00,0.00,0.00
KASSAYE,133114,117,0.04,89027.94,0.00,87.18,(S),0.00,11.97,(S)
KATNIK,133114,117,0.04,89027.99,94.02,(S),0.00,0.00,(S),4.27
KATOR,133114,117,0.04,89028.03,82.91,8.55,(S),0.00,5.13,(S)
KAUPU,133114,117,0.04,89028.07,6.84,(S),70.09,(S),17.09,4.27
KEDDELL,133114,117,0.04,89028.12,91.45,(S),(S),0.00,(S),(S)
KENIS,133114,117,0.04,89028.16,89.74,5.98,0.00,0.00,0.00,4.27
KENNERLEY,133114,117,0.04,89028.20,96.58,0.00,(S),(S),(S),0.00
KESSING,133114,117,0.04,89028.25,93.16,0.00,5.13,0.00,(S),(S)
KESTIN,133114,117,0.04,89028.29,94.02,(S),0.00,(S),(S),(S)
KETELBOETER,133114,117,0.04,89028.33,97.44,(S),0.00,0.00,0.00,(S)
KICKERY,133114,117,0.04,89028.38,99.15,(S),0.00,0.00,0.00,(S)
KIRCHOFER,133114,117,0.04,89028.42,99.00,0.00,0.00,0.00,0.00,0.00
KIRCKOF,133114,117,0.04,89028.46,95.73,0.00,0.00,0.00,(S),(S)
KITER,133114,117,0.04,89028.51,86.32,(S),(S),0.00,(S),9.40
KLANDERUD,133114,117,0.04,89028.55,94.02,0.00,(S),0.00,4.27,(S)
KMEC,133114,117,0.04,89028.59,99.15,0.00,0.00,0.00,(S),(S)
KNIGHTNER,133114,117,0.04,89028.64,(S),91.45,0.00,0.00,(S),4.27
KOCHIN,133114,117,0.04,89028.68,94.87,0.00,0.00,(S),(S),(S)
KOEHLY,133114,117,0.04,89028.72,98.29,(S),0.00,0.00,0.00,(S)
KOHANIM,133114,117,0.04,89028.77,85.47,0.00,0.00,0.00,14.53,0.00
KOKEL,133114,117,0.04,89028.81,98.29,(S),0.00,0.00,0.00,(S)
KOLAWOLE,133114,117,0.04,89028.85,(S),94.02,0.00,0.00,(S),(S)
KOLESA,133114,117,0.04,89028.90,94.87,(S),(S),0.00,0.00,4.27
KONVALIN,133114,117,0.04,89028.94,94.87,(S),0.00,0.00,(S),4.27
KOPPENHOEFER,133114,117,0.04,89028.98,96.58,0.00,0.00,0.00,(S),(S)
KORKOSZ,133114,117,0.04,89029.03,97.44,0.00,0.00,0.00,(S),(S)
KOTERA,133114,117,0.04,89029.07,87.18,(S),11.97,0.00,0.00,(S)
KOVACHEVICH,133114,117,0.04,89029.11,96.58,0.00,0.00,0.00,(S),(S)
KRAGENBRINK,133114,117,0.04,89029.16,99.15,0.00,0.00,0.00,(S),(S)
