name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
MONTALDO,94676,179,0.07,86963.51,69.83,0.00,(S),(S),(S),28.49
MOONS,94676,179,0.07,86963.58,89.94,6.70,(S),(S),0.00,2.79
MOZA,94676,179,0.07,86963.65,46.37,(S),12.85,(S),3.35,36.31
MULLOOLY,94676,179,0.07,86963.71,99.44,(S),0.00,0.00,0.00,(S)
MUNSEE,94676,179,0.07,86963.78,97.77,0.00,(S),0.00,0.00,(S)
MUSCI,94676,179,0.07,86963.84,96.09,0.00,(S),0.00,(S),2.79
MYERSCOUGH,94676,179,0.07,86963.91,96.65,0.00,(S),0.00,0.00,(S)
NAGODE,94676,179,0.07,86963.98,96.09,(S),(S),0.00,0.00,3.35
NALLI,94676,179,0.07,86964.04,79.89,(S),14.53,(S),2.79,(S)
NANGIA,94676,179,0.07,86964.11,4.47,0.00,93.30,0.00,(S),(S)
NEASBITT,94676,179,0.07,86964.18,87.71,(S),0.00,7.26,4.47,(S)
NERING,94676,179,0.07,86964.24,91.06,3.35,(S),0.00,(S),4.47
NEUSE,94676,179,0.07,86964.31,94.97,(S),0.00,0.00,(S),(S)
NEWTOWN,94676,179,0.07,86964.38,93.85,5.59,0.00,0.00,(S),(S)
NJOS,94676,179,0.07,86964.44,95.53,(S),0.00,0.00,(S),2.79
NOGAL,94676,179,0.07,86964.51,49.72,0.00,3.35,0.00,0.00,46.93
NOTIS,94676,179,0.07,86964.57,91.62,4.47,(S),0.00,(S),(S)
NWOKE,94676,179,0.07,86964.64,2.79,92.74,(S),0.00,2.79,(S)
OILAR,94676,179,0.07,86964.71,96.09,0.00,0.00,(S),(S),(S)
OPPMAN,94676,179,0.07,86964.77,98.32,(S),0.00,0.00,0.00,(S)
ORNELAZ,94676,179,0.07,86964.84,15.08,0.00,3.35,(S),(S),79.89
OXENDALE,94676,179,0.07,86964.91,98.32,0.00,(S),0.00,(S),0.00
PAHULU,94676,179,0.07,86964.97,2.79,(S),84.92,0.00,11.17,(S)
PANELO,94676,179,0.07,86965.04,(S),(S),76.54,0.00,9.50,11.17
PASSO,94676,179,0.07,86965.10,91.06,(S),(S),0.00,(S),6.15
PASTERSKI,94676,179,0.07,86965.17,94.97,0.00,(S),(S),0.00,2.79
PATILLA,94676,179,0.07,86965.24,30.73,47.49,(S),0.00,(S),18.44
PATSEY,94676,179,0.07,86965.30,88.83,(S),0.00,8.38,(S),(S)
PEATE,94676,179,0.07,86965.37,83.80,12.29,0.00,0.00,(S),(S)
PETET,94676,179,0.07,86965.44,94.41,(S),0.00,(S),(S),2.79
PFLUGRADT,94676,179,0.07,86965.50,95.53,0.00,(S),(S),0.00,(S)
PFUNDSTEIN,94676,179,0.07,86965.57,98.88,0.00,0.00,0.00,(S),(S)
PIJUAN,94676,179,0.07,86965.64,14.53,(S),10.06,0.00,(S),74.30
PITTSINGER,94676,179,0.07,86965.70,94.97,0.00,(S),0.00,(S),(S)
PLAXICO,94676,179,0.07,86965.77,72.63,26.82,(S),0.00,0.00,(S)
PLOEN,94676,179,0.07,86965.83,99.44,(S),0.00,0.00,0.00,(S)
POLM,94676,179,0.07,86965.90,97.77,0.00,0.00,(S),(S),0.00
PONSLER,94676,179,0.07,86965.97,98.88,(S),0.00,0.00,0.00,(S)
PORAT,94676,179,0.07,86966.03,93.30,0.00,(S),0.00,3.35,(S)
POROWSKI,94676,179,0.07,86966.10,96.65,(S),0.00,0.00,2.79,(S)
POSTELLE,94676,179,0.07,86966.17,74.30,15.08,(S),(S),2.79,6.70
PRESGROVE,94676,179,0.07,86966.23,94.41,0.00,0.00,5.59,0.00,0.00
PREUETT,94676,179,0.07,86966.30,97.21,(S),0.00,0.00,(S),0.00
PRIDGETT,94676,179,0.07,86966.37,(S),92.18,0.00,(S),4.47,(S)
PROL,94676,179,0.07,86966.43,70.95,(S),0.00,0.00,(S),27.37
PROMISE,94676,179,0.07,86966.50,22.91,73.74,0.00,(S),(S),(S)
PROPHETER,94676,179,0.07,86966.56,96.09,(S),(S),0.00,0.00,(S)
PUCHALLA,94676,179,0.07,86966.63,97.21,0.00,(S),0.00,(S),0.00
QUANE,94676,179,0.07,86966.70,90.50,(S),2.79,0.00,(S),5.03
QUDDUS,94676,179,0.07,86966.76,8.94,16.76,60.89,(S),10.61,(S)
RADNER,94676,179,0.07,86966.83,96.65,(S),0.00,0.00,(S),(S)
RATKIEWICZ,94676,179,0.07,86966.90,99.00,0.00,0.00,0.00,0.00,0.00
RATTLEY,94676,179,0.07,86966.96,5.03,82.68,(S),(S),5.59,5.59
RAUPACH,94676,179,0.07,86967.03,98.32,0.00,(S),0.00,0.00,(S)
RAYS,94676,179,0.07,86967.10,59.78,21.79,(S),(S),2.79,14.53
REAMAN,94676,179,0.07,86967.16,93.30,0.00,3.91,0.00,2.79,0.00
REXWINKLE,94676,179,0.07,86967.23,88.83,0.00,0.00,7.82,3.35,0.00
RHOM,94676,179,0.07,86967.29,98.88,0.00,(S),0.00,(S),0.00
RICKET,94676,179,0.07,86967.36,88.27,6.70,(S),0.00,(S),(S)
RIER,94676,179,0.07,86967.43,79.89,15.08,(S),(S),(S),3.35
RISTUCCIA,94676,179,0.07,86967.49,98.88,(S),0.00,0.00,0.00,(S)
RIVIEZZO,94676,179,0.07,86967.56,95.53,0.00,0.00,0.00,0.00,4.47
ROSENFELDER,94676,179,0.07,86967.63,97.21,0.00,0.00,0.00,(S),(S)
ROUB,94676,179,0.07,86967.69,97.21,(S),0.00,(S),0.00,(S)
ROWCLIFFE,94676,179,0.07,86967.76,96.65,0.00,(S),(S),(S),(S)
RUEZ,94676,179,0.07,86967.83,26.26,3.35,(S),(S),0.00,68.16
RUGA,94676,179,0.07,86967.89,80.45,2.79,4.47,(S),(S),10.61
RUGENSTEIN,94676,179,0.07,86967.96,94.97,0.00,(S),(S),(S),0.00
SAHARA,94676,179,0.07,86968.02,25.14,7.82,58.10,0.00,3.35,5.59
SAJEWSKI,94676,179,0.07,86968.09,93.30,(S),(S),0.00,(S),3.35
SALVIN,94676,179,0.07,86968.16,86.03,(S),(S),0.00,(S),8.94
SATIAGO,94676,179,0.07,86968.22,6.15,(S),3.91,2.79,(S),86.03
SAVE,94676,179,0.07,86968.29,36.87,(S),40.22,(S),7.82,12.29
SCHAUNAMAN,94676,179,0.07,86968.36,99.44,0.00,0.00,0.00,(S),(S)
SCHEIWE,94676,179,0.07,86968.42,99.00,0.00,0.00,0.00,0.00,0.00
SCHEPS,94676,179,0.07,86968.49,98.88,(S),0.00,0.00,0.00,(S)
SCHETROMPF,94676,179,0.07,86968.56,97.77,0.00,(S),0.00,0.00,(S)
SCHLAICH,94676,179,0.07,86968.62,97.21,0.00,0.00,(S),(S),0.00
SCHONING,94676,179,0.07,86968.69,96.65,(S),(S),(S),(S),(S)
SCLAR,94676,179,0.07,86968.75,96.65,(S),0.00,0.00,(S),(S)
SCOLLAN,94676,179,0.07,86968.82,93.85,(S),0.00,0.00,(S),4.47
SCOZZARO,94676,179,0.07,86968.89,98.32,0.00,0.00,0.00,(S),(S)
SEBRELL,94676,179,0.07,86968.95,80.45,17.88,(S),(S),(S),0.00
SERENI,94676,179,0.07,86969.02,89.39,(S),6.15,0.00,2.79,(S)
SEVERIANO,94676,179,0.07,86969.09,7.82,(S),0.00,0.00,(S),89.39
SHADRACH,94676,179,0.07,86969.15,78.77,8.38,7.82,(S),(S),(S)
SHEUMAKER,94676,179,0.07,86969.22,94.97,0.00,(S),0.00,(S),(S)
SIEDENBURG,94676,179,0.07,86969.29,89.94,0.00,(S),(S),3.35,5.03
SILAGY,94676,179,0.07,86969.35,95.53,(S),0.00,0.00,(S),3.35
SIRONEN,94676,179,0.07,86969.42,97.77,0.00,0.00,(S),0.00,(S)
SJOSTEDT,94676,179,0.07,86969.48,97.77,0.00,0.00,0.00,(S),(S)
SKANE,94676,179,0.07,86969.55,97.77,(S),0.00,0.00,(S),(S)
SNAITH,94676,179,0.07,86969.62,77.65,16.76,0.00,(S),3.91,(S)
SOLARSKI,94676,179,0.07,86969.68,98.88,(S),0.00,0.00,0.00,(S)
SOLEYMANI,94676,179,0.07,86969.75,86.03,0.00,(S),0.00,11.73,(S)
SOSBEE,94676,179,0.07,86969.82,96.65,(S),0.00,(S),(S),(S)
SPENA,94676,179,0.07,86969.88,94.41,(S),0.00,0.00,(S),3.91
SPENCLEY,94676,179,0.07,86969.95,90.50,0.00,(S),2.79,3.91,(S)
STADELMANN,94676,179,0.07,86970.02,97.77,0.00,(S),0.00,0.00,(S)
STADTFELD,94676,179,0.07,86970.08,94.97,(S),0.00,(S),(S),(S)
STAGMAN,94676,179,0.07,86970.15,97.21,(S),(S),0.00,(S),0.00
STALLEY,94676,179,0.07,86970.21,84.36,12.29,(S),(S),(S),(S)
STARZ,94676,179,0.07,86970.28,91.06,(S),(S),0.00,(S),5.59
STEPANSKY,94676,179,0.07,86970.35,97.77,0.00,0.00,0.00,(S),(S)
STIERHOFF,94676,179,0.07,86970.41,97.77,(S),0.00,0.00,(S),0.00
STRAWTER,94676,179,0.07,86970.48,5.59,89.94,(S),0.00,3.91,(S)
STRESS,94676,179,0.07,86970.55,96.09,0.00,(S),0.00,(S),(S)
STULKEN,94676,179,0.07,86970.61,99.00,0.00,0.00,0.00,0.00,0.00
STURZA,94676,179,0.07,86970.68,96.09,0.00,(S),0.00,3.35,(S)
STYKA,94676,179,0.07,86970.75,98.32,0.00,(S),0.00,0.00,(S)
SUBJECT,94676,179,0.07,86970.81,75.98,17.88,(S),(S),(S),3.35
SUEOKA,94676,179,0.07,86970.88,14.53,0.00,65.92,0.00,8.38,11.17
SWEARS,94676,179,0.07,86970.94,95.53,(S),(S),0.00,0.00,3.35
SZCZUBLEWSKI,94676,179,0.07,86971.01,97.77,0.00,0.00,0.00,(S),(S)
TAKAHARA,94676,179,0.07,86971.08,6.70,0.00,87.71,0.00,5.59,0.00
TATGENHORST,94676,179,0.07,86971.14,97.77,(S),0.00,0.00,0.00,(S)
TELA,94676,179,0.07,86971.21,45.81,10.61,22.35,0.00,7.26,13.97
THOPSON,94676,179,0.07,86971.28,53.63,39.66,(S),(S),2.79,2.79
TIBBIT,94676,179,0.07,86971.34,86.03,(S),(S),6.15,3.91,(S)
TIELKING,94676,179,0.07,86971.41,93.85,0.00,(S),(S),4.47,0.00
TOKHI,94676,179,0.07,86971.47,51.40,(S),15.08,0.00,31.28,(S)
TONELLO,94676,179,0.07,86971.54,96.65,0.00,(S),0.00,(S),(S)
TORELLA,94676,179,0.07,86971.61,96.09,0.00,(S),0.00,2.79,(S)
TORRENT,94676,179,0.07,86971.67,44.69,(S),(S),(S),3.35,50.28
TORRILLO,94676,179,0.07,86971.74,86.59,0.00,(S),0.00,(S),8.94
TRILL,94676,179,0.07,86971.81,94.41,(S),(S),0.00,0.00,3.35
TRIMMIER,94676,179,0.07,86971.87,69.27,26.82,0.00,0.00,(S),(S)
TRUSKY,94676,179,0.07,86971.94,96.09,(S),(S),0.00,(S),(S)
TURKAL,94676,179,0.07,86972.01,98.32,(S),0.00,(S),0.00,(S)
UBERT,94676,179,0.07,86972.07,91.06,(S),(S),(S),(S),2.79
VANDERPLAS,94676,179,0.07,86972.14,96.65,0.00,0.00,0.00,(S),(S)
VANDESANDE,94676,179,0.07,86972.20,93.30,0.00,(S),0.00,(S),4.47
VANLENTE,94676,179,0.07,86972.27,98.88,(S),0.00,0.00,0.00,(S)
VANTA,94676,179,0.07,86972.34,34.08,(S),56.42,(S),6.15,2.79
VAROZ,94676,179,0.07,86972.40,25.14,0.00,0.00,0.00,0.00,74.86
VEDRAL,94676,179,0.07,86972.47,97.21,0.00,(S),0.00,(S),0.00
VEIK,94676,179,0.07,86972.54,97.21,0.00,0.00,(S),0.00,(S)
VERNOLA,94676,179,0.07,86972.60,97.77,(S),0.00,0.00,0.00,(S)
VERWYS,94676,179,0.07,86972.67,99.44,0.00,0.00,0.00,(S),(S)
VISBAL,94676,179,0.07,86972.74,37.99,0.00,(S),0.00,(S),59.22
VOLKART,94676,179,0.07,86972.80,98.32,0.00,(S),(S),(S),0.00
WANSOR,94676,179,0.07,86972.87,94.97,(S),(S),0.00,2.79,(S)
